day,date,pccpue
-10,2016-05-21,0.07514981660585475
-9,2016-05-22,0.0934300652092471
-8,2016-05-23,0.11615182904872799
-7,2016-05-24,0.14439143547638777
-6,2016-05-25,0.1794845057583295
-5,2016-05-26,0.22308758377615076
-4,2016-05-27,0.27725395635563815
-3,2016-05-28,0.344526683260637
-2,2016-05-29,0.42805235733099783
-1,2016-05-30,0.531719618968933
0,2016-05-31,0.660326893673944
1,2016-06-01,0.8197841028150123
2,2016-06-02,1.017353047228296
3,2016-06-03,1.2619305158832437
4,2016-06-04,1.5643765281826625
5,2016-06-05,1.9378868969874306
6,2016-06-06,2.3984036892180067
7,2016-06-07,2.965048090847668
8,2016-06-08,3.6605463457507286
9,2016-06-09,4.511599435158916
10,2016-06-10,5.549119887507125
11,2016-06-11,6.808224507896366
12,2016-06-12,8.327832236427646
13,2016-06-13,10.149678503243596
14,2016-06-14,12.316534819252068
15,2016-06-15,14.869436966054606
16,2016-06-16,17.84380671901813
17,2016-06-17,21.26453086913808
18,2016-06-18,25.14035186661175
19,2016-06-19,29.45829977468132
20,2016-06-20,34.1792622349868
21,2016-06-21,39.235986356793326
22,2016-06-22,44.53465116909827
23,2016-06-23,49.960538892442756
24,2016-06-24,55.38735617172607
25,2016-06-25,60.688723587919135
26,2016-06-26,65.74968166348228
27,2016-06-27,70.47605633530671
28,2016-06-28,74.8001889302768
29,2016-06-29,78.6825662454637
30,2016-06-30,82.10986695097546
31,2016-07-01,85.09055742083393
32,2016-07-02,87.6493315736491
33,2016-07-03,89.8214959464247
34,2016-07-04,91.64803538302614
35,2016-07-05,93.17171862888186
36,2016-07-06,94.434311010871
37,2016-07-07,95.47478096831263
38,2016-07-08,96.32830442453945
39,2016-07-09,97.02585561992768
40,2016-07-10,97.59419529536703
41,2016-07-11,98.05610485154122
42,2016-07-12,98.43075472552765
43,2016-07-13,98.73412992353208
44,2016-07-14,98.97946303515863
45,2016-07-15,99.17764515619511
46,2016-07-16,99.33759906367833
47,2016-07-17,99.46660811629737
48,2016-07-18,99.57060000526938
49,2016-07-19,99.65438773050866
50,2016-07-20,99.72187183879396
